Log begins at 0 miliseconds.
0,433,963,0,0,0,0,0,0,0,0,0,0,
3,433,963,5,5,6,8,0,0,0,0,0,0,
6,434,965,13,14,13,13,0,0,0,0,0,0,
9,434,964,7,5,5,7,0,0,0,0,0,0,
12,434,964,0,0,0,0,0,0,0,0,0,0,
14,434,964,0,0,0,0,0,0,0,0,0,0,
16,434,963,0,0,0,0,0,0,0,0,0,0,
19,434,964,2,3,4,4,0,0,0,0,0,0,
21,434,964,12,11,10,11,0,0,0,0,0,0,
24,434,963,7,6,6,8,0,0,0,0,0,0,
26,434,964,5,4,4,4,0,0,0,0,0,0,
30,434,964,0,0,0,0,0,0,0,0,0,0,
33,434,964,0,0,0,0,0,0,0,0,0,0,
37,434,964,9,11,12,12,0,0,0,0,0,0,
40,434,963,10,8,8,10,0,0,0,0,0,0,
44,434,964,4,2,0,1,0,0,0,0,0,0,
48,434,964,0,0,0,0,0,0,0,0,0,0,
50,434,964,0,0,0,0,0,0,0,0,0,0,
53,434,963,5,6,7,8,0,0,0,0,0,0,
55,434,963,11,10,9,10,0,0,0,0,0,0,
58,434,963,7,6,6,7,0,0,0,0,0,0,
60,434,964,4,3,3,3,0,0,0,0,0,0,
63,434,963,0,0,0,0,0,0,0,0,0,0,
65,434,964,0,0,0,0,0,0,0,0,0,0,
67,434,963,0,0,0,0,0,0,0,0,0,0,
70,434,964,7,8,9,10,0,0,0,0,0,0,
72,434,963,10,9,8,9,0,0,0,0,0,0,
75,434,963,6,6,5,7,0,0,0,0,0,0,
77,434,964,4,3,0,0,0,0,0,0,0,0,
80,434,964,0,0,0,0,0,0,0,0,0,0,
83,434,963,0,0,0,0,0,0,0,0,0,0,
85,434,963,0,2,3,3,0,0,0,0,0,0,
88,434,964,12,11,11,11,0,0,0,0,0,0,
90,434,964,8,7,7,8,0,0,0,0,0,0,
93,434,964,5,5,4,6,0,0,0,0,0,0,
95,434,964,0,0,0,0,0,0,0,0,0,0,
98,434,964,0,0,0,0,0,0,0,0,0,0,
100,434,964,0,0,0,0,0,0,0,0,0,0,
103,434,964,4,5,6,7,0,0,0,0,0,0,
105,434,964,11,10,10,10,0,0,0,0,0,0,
108,434,964,7,6,6,7,0,0,0,0,0,0,
110,434,964,4,3,2,3,0,0,0,0,0,0,
113,434,963,0,0,0,0,0,0,0,0,0,0,
115,434,964,0,0,0,0,0,0,0,0,0,0,
118,434,964,0,0,0,0,0,0,0,0,0,0,
121,434,964,11,11,11,11,0,0,0,0,0,0,
123,434,964,8,7,7,9,0,0,0,0,0,0,
126,434,964,5,5,4,6,0,0,0,0,0,0,
128,434,963,0,0,0,0,0,0,0,0,0,0,
130,434,964,0,0,0,0,0,0,0,0,0,0,
133,434,964,0,0,0,0,0,0,0,0,0,0,
135,434,964,1,3,4,4,0,0,0,0,0,0,
138,434,964,12,12,11,12,0,0,0,0,0,0,
141,434,964,7,7,6,8,0,0,0,0,0,0,
143,434,964,4,4,3,4,0,0,0,0,0,0,
146,434,964,0,0,0,0,0,0,0,0,0,0,
149,434,964,0,0,0,0,0,0,0,0,0,0,
152,434,964,4,5,7,9,0,0,0,0,0,0,
156,434,964,12,12,11,11,0,0,0,0,0,0,
160,434,964,7,5,5,6,0,0,0,0,0,0,
162,434,964,0,0,0,0,0,0,0,0,0,0,
164,434,964,0,0,0,0,0,0,0,0,0,0,
167,434,964,0,0,0,0,0,0,0,0,0,0,
170,434,964,6,7,8,9,0,0,0,0,0,0,
172,434,964,10,9,9,10,0,0,0,0,0,0,
175,434,963,6,6,5,7,0,0,0,0,0,0,
177,434,964,4,3,2,3,0,0,0,0,0,0,
